_,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Percent of population volunteering,26.2,26.4,26.8,26.3,26.8,26.5,25.4,25.3,24.9,25.2
Number of volunteers,60.8 million,61.8 million,63.4 million,62.8 million,64.3 million,64.5 million,62.6 million,62.8 million,62.6 million,63.9 million
Hours volunteered,8.1 billion,8.0 billion,8.1 billion,8.1 billion,8.5 billion,8.5 billion,8.3 billion,8.7 billion,8.5 billion,8.7 billion
Average hours per volunteer,133,130,128,129,132,132,133,139,136,136
Median hours per volunteer,52,52,52,52,51,50,50,50,52,--
Percent of population volunteering,7,6.8,7.1,6.8,6,5.8,6.1,6.4,6.4,5.6
Number of volunteers,16.6 million,16.2 million,17.1 million,16.6 million,14.6 million,14.3 million,15.1 million,16.0 million,16.3 million,14.4 million
Hours per day per volunteer,2.56,2.43,2.39,2.46,2.84,2.48,2.57,2.41,2.49,2.39
Population age 16 and over,232.5 million,234.4 million,236.3 million,238.3 million,240.0 million,243.8  million,246.2 million,248.4 million,251.3 million,253.6 million
Full-time-equivalent employees,4.8 million,4.7 million,4.8 million,4.8 million,5.0 million,5.0 million,4.9 million,5.1 million,5.0 million,5.1 million
Assigned hourly wages for volunteers,$17.43 ,$18.08 ,$18.63 ,$19.07 ,$19.47 ,$19.75 ,$20.16 ,$20.59 ,$21.08 ,$21.63 
Assigned value of volunteer time,$141.0 billion,$144.7 billion,$150.7 billion,$154.1 billion,$164.8 billion,$168.3 billion,$167.2 billion,$179.2 billion,$179.0 billion,$187.4 billion
